CPU_Load,Memory_Usage,Disk_Usage,Network_IO,Server_Load,Power_Consumption,Temperature,Num_of_Running_Processes,Storage_Capacity,Server_Uptime,Status,Server_ID,Server_Dependency
52.62919007,48.88555412,65.6864804,42.1136557,48.56913006,39.2490377,55.7929413,51,56.1604067,48.47342269,59.4732157,Server_1,Server_2945
56.63458341,20.23202248,35.26430411,37.05071113,66.37198348,50.96317519,38.8993158,46,50.96216666,58.00228567,39.9015725,Server_2,Server_738
34.02451472,21.22780482,56.55034794,34.39389528,45.42545684,53.19348276,29.09155896,48,59.32392135,50.56617943,41.76674528,Server_3,Server_1396
43.59564375,42.30118031,47.92774021,59.21112825,58.50239991,31.57498631,49.27609511,50,55.18852396,49.68168878,37.464329,Server_4,Server_242
45.94428233,58.22018984,58.24800885,66.92623169,45.1867058,50.53777092,45.02885102,61,71.67126869,71.83493597,54.72867282,Server_5,Server_2681
36.76355705,59.82942722,51.1540619,53.30778048,50.79340646,52.26822173,29.43139367,31,65.45928294,42.04749934,43.32797376,Server_6,Server_781
79.57724536,13.49609482,28.88204232,44.27715107,33.16147131,63.46015342,42.51465754,26,57.63974018,41.68024013,53.93547852,Server_7,Server_2040
56.74287317,57.57390551,43.56784355,84.68728302,57.03954909,69.1231522,49.85447902,33,59.35190268,30.20778592,57.2927369,Server_8,Server_4036
45.02352933,63.82544449,42.59775351,50.33467691,31.11110267,46.14369733,55.3611011,23,64.12881413,27.72907153,40.48619381,Server_9,Server_947
54.19037507,54.84188995,37.50204528,75.32705905,58.5591022,45.6603267,39.54755728,43,52.88230403,85.4601135,42.7921234,Server_10,Server_2428
69.25569261,29.66269773,57.85443547,42.78802267,69.14553392,57.93106156,37.72325055,28,38.94806197,55.0254276,68.93609649,Server_11,Server_3571
42.91456414,49.0959317,69.68772837,35.4661294,70.21822776,55.82294192,56.53658683,46,47.93158001,38.20300115,61.18681452,Server_12,Server_1528
61.75246687,25.74019237,50.6588708,62.91303821,50.95632448,52.41468337,48.18785442,47,53.83265423,71.34622443,57.03538776,Server_13,Server_1496
47.1338381,48.09554156,37.92826894,76.24227034,28.49608882,56.35221057,47.62512465,27,71.23033905,51.15930843,41.21301502,Server_14,Server_824
58.24634988,23.22093065,56.76620929,61.87911554,38.58961787,46.42206613,54.47399626,48,62.35825791,48.36414895,57.16812493,Server_15,Server_3633
